Model,Question,BatchSize,Token_Step,Token_Rank,Token_ID,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j),Logit_B1,Mean_Logit_Runs,Std_Logit_Runs,Range_Logit_Runs
gemma3,question_000,2,0,1,8291,0.9199719429016113,0.9331485033035278,0.006192464847117662,0.016880273818969727,42.25,42.23500061035156,0.12658993899822235,0.75
gemma3,question_000,2,0,2,19058,0.07551589608192444,0.06266079097986221,0.006021494045853615,0.01572919636964798,39.75,39.529998779296875,0.12884101271629333,0.75
gemma3,question_000,2,0,3,6481,0.0029280693270266056,0.0024166603107005358,0.0002230983809567988,0.0006462170276790857,36.5,36.27499771118164,0.114564448595047,0.5
gemma3,question_000,2,0,4,818,0.0010771764209493995,0.0013239982072263956,0.00014820379146840423,0.0005532857030630112,35.5,35.66999816894531,0.15362288057804108,0.5
gemma3,question_000,2,0,5,1018,0.00039627106161788106,0.0003382005088496953,4.350614472059533e-05,0.00019461105694063008,34.5,34.30500030517578,0.14396168291568756,0.75
gemma3,question_000,2,0,6,1882,6.88615909893997e-05,6.738349475199357e-05,5.757184680987848e-06,1.6453879652544856e-05,32.75,32.69499969482422,0.14396178722381592,0.5
gemma3,question_000,2,0,7,7280,2.5332763470942155e-05,2.8342024961602874e-05,2.198605443481938e-06,1.4095827282289974e-05,31.75,31.829999923706055,0.121860571205616,0.625
gemma3,question_000,2,0,8,10274,7.257957349793287e-06,7.281073521880899e-06,3.8432597193605034e-07,2.467888407409191e-06,30.5,30.47249984741211,0.10691703110933304,0.625
gemma3,question_000,2,0,9,22736,3.0255669116741046e-06,2.69006636699487e-06,2.181044038707114e-07,1.3464964467857499e-06,29.625,29.474998474121094,0.07905688881874084,0.375
gemma3,question_000,2,0,10,2021,2.079439809676842e-06,2.1129446849954547e-06,1.2842140506563737e-07,8.341040711457026e-07,29.25,29.23499870300293,0.11629701405763626,0.625
gemma3,question_000,2,1,1,236789,0.9999979734420776,0.999997615814209,1.803368547825812e-07,9.5367431640625e-07,39.5,39.43000030517578,0.13266487419605255,0.5
gemma3,question_000,2,1,2,563,1.9947297005273867e-06,2.316806558155804e-06,1.599235019966727e-07,9.075822617887752e-07,26.375,26.452499389648438,0.09317316114902496,0.375
gemma3,question_000,2,1,3,236858,2.8453291278651704e-08,3.3164941015684235e-08,2.7605460140023297e-09,1.29459838404955e-08,22.125,22.204999923706055,0.09273625910282135,0.375
gemma3,question_000,2,1,4,239111,9.237431264352836e-09,8.637554671508951e-09,9.530728428686075e-10,3.709082818659226e-09,21.0,20.857500076293945,0.07909645140171051,0.5
gemma3,question_000,2,1,5,659,8.152003516670447e-09,9.739364870142708e-09,1.108484748435501e-09,5.992506046936796e-09,20.875,20.97749900817871,0.0646626204252243,0.375
gemma3,question_000,2,1,6,692,3.3982610059268836e-09,3.9924135109004055e-09,3.6622616050863144e-10,1.7520478401422679e-09,20.0,20.087499618530273,0.08003898710012436,0.25
