Model,Question,BatchSize,Token_Step,Token_Rank,Token_ID,Prob_B1,Mean_Prob_Runs,Std_Prob_Runs (sigma_j),Range_Prob_Runs (R_j),Logit_B1,Mean_Logit_Runs,Std_Logit_Runs,Range_Logit_Runs
gemma3,question_000,2,0,1,8291,0.9362295866012573,0.9328036308288574,0.006435977295041084,0.016990065574645996,42.0,42.23999786376953,0.09949879348278046,0.5
gemma3,question_000,2,0,2,19058,0.05985115468502045,0.06297281384468079,0.006270112469792366,0.0157499797642231,39.25,39.540000915527344,0.10440294444561005,0.5
gemma3,question_000,2,0,3,6481,0.002320681232959032,0.002428971929475665,0.00023639628489036113,0.0006961985491216183,36.0,36.28499984741211,0.10012481361627579,0.5
gemma3,question_000,2,0,4,818,0.0010962121887132525,0.0013482799986377358,0.00013212906196713448,0.0005532129434868693,35.25,35.69499969482422,0.12539935111999512,0.75
gemma3,question_000,2,0,5,1018,0.00040327393799088895,0.0003344851720612496,4.1418959881411865e-05,0.0001947082346305251,34.25,34.29999923706055,0.11180323362350464,0.5
gemma3,question_000,2,0,6,1882,5.457719089463353e-05,6.928804941708222e-05,4.615353191184113e-06,3.471535092103295e-05,32.25,32.72999954223633,0.09797962009906769,0.5
gemma3,question_000,2,0,7,7280,2.9213066227384843e-05,2.6154357328778133e-05,2.098513959936099e-06,1.243302358489018e-05,31.625,31.7549991607666,0.08276470005512238,0.5
gemma3,question_000,2,0,8,10274,6.518315785797313e-06,7.2852194534789305e-06,4.909512654194259e-07,2.4707378543098457e-06,30.125,30.47749900817871,0.059634290635585785,0.375
gemma3,question_000,2,0,9,22736,2.39795440393209e-06,2.7070834676123923e-06,1.870744199550245e-07,1.3127189504302805e-06,29.125,29.487499237060547,0.07180706411600113,0.5
gemma3,question_000,2,0,10,2021,2.1161872609809507e-06,2.3884265374363167e-06,1.5627340133050893e-07,1.188316787192889e-06,29.0,29.362499237060547,0.0838526040315628,0.5
gemma3,question_000,2,1,1,236789,0.9999977350234985,0.9999976754188538,1.8998170503436995e-07,9.5367431640625e-07,39.25,39.25499725341797,0.09340780228376389,0.5
gemma3,question_000,2,1,2,563,2.2603242086915998e-06,2.3114948817237746e-06,1.6600657204435265e-07,9.075822617887752e-07,26.25,26.274999618530273,0.06614375114440918,0.375
gemma3,question_000,2,1,3,236858,3.6534739678018013e-08,3.6029891958833105e-08,2.921950237322335e-09,1.29459838404955e-08,22.125,22.112499237060547,0.05153864249587059,0.375
gemma3,question_000,2,1,4,239111,1.046737807541831e-08,9.418676505390522e-09,6.031033450426548e-10,3.7090810423023868e-09,20.875,20.772499084472656,0.07782193273305893,0.5
gemma3,question_000,2,1,5,659,1.046737807541831e-08,1.0455879717596872e-08,5.53659673663276e-10,2.6236604000473562e-09,20.875,20.877498626708984,0.06368870288133621,0.375
gemma3,question_000,2,1,6,692,4.944439080389884e-09,3.964060635297528e-09,3.798467929083671e-10,2.2045194558728554e-09,20.125,19.904998779296875,0.06873860955238342,0.25
gemma3,question_000,2,1,7,25080,3.398260117748464e-09,3.0749571777732854e-09,2.3020434170017978e-10,1.2041632135861846e-09,19.75,19.65250015258789,0.0761987715959549,0.375
gemma3,question_000,2,1,8,564,2.9989539740427062e-09,3.0164635234086745e-09,2.503769691575286e-10,1.5151440102556535e-09,19.625,19.63249969482422,0.07250005006790161,0.375
gemma3,question_000,2,1,9,236764,2.9989539740427062e-09,2.5510435985864888e-09,4.028365419017632e-10,1.515142677988024e-09,19.625,19.457500457763672,0.13831573724746704,0.375
gemma3,question_000,2,1,10,6555,1.8189575401450497e-09,1.6210697229013249e-09,1.1144068307045174e-10,8.109972693404188e-10,19.125,19.01249885559082,0.05728224664926529,0.375
gemma3,question_000,2,2,1,236751,1.0,1.0,0.0,0.0,41.75,42.00499725341797,0.1273774802684784,0.75
gemma3,question_000,2,2,2,236745,1.493094675675266e-10,1.3181002123108243e-10,1.3902556189604454e-11,1.0115638188201714e-10,19.125,19.25,0.08291566371917725,0.625
gemma3,question_000,2,2,3,503,7.99195987166712e-11,6.972809135641356e-11,5.843547000450311e-12,3.563288900054751e-11,18.5,18.614999771118164,0.0784219428896904,0.5
gemma3,question_000,2,2,4,236773,2.940077695190446e-11,2.5087504990084497e-11,2.6939648428703222e-12,1.5482970808222696e-11,17.5,17.59000015258789,0.07088720798492432,0.25
gemma3,question_000,2,2,5,154090,2.940077695190446e-11,2.9882554763993596e-11,2.775585317138507e-12,1.6831782495563274e-11,17.5,17.767499923706055,0.07504165172576904,0.375
gemma3,question_000,2,2,6,236744,1.573710259328287e-11,1.535051079304406e-11,1.4561909620833258e-12,7.01653145307457e-12,16.875,17.100000381469727,0.07905695587396622,0.5
gemma3,question_000,2,2,7,236746,1.2256066821147993e-11,1.1995921617158345e-11,1.2693582079545407e-12,7.313638410166856e-12,16.625,16.85249900817871,0.0736970379948616,0.375
gemma3,question_000,2,2,8,506,8.423464183116014e-12,7.557236086919161e-12,7.07464089481219e-13,5.0265854846520686e-12,16.25,16.392499923706055,0.0790964737534523,0.375
gemma3,question_000,2,2,9,563,7.433680407342713e-12,6.475721434778814e-12,5.194768226690627e-13,3.3143752499464885e-12,16.125,16.238750457763672,0.09328223764896393,0.5625
gemma3,question_000,2,2,10,253696,3.098819161342914e-12,2.8591603910832486e-12,3.008121095965377e-13,1.9782144672353397e-12,15.25,15.418749809265137,0.05762215331196785,0.375
gemma3,question_000,2,3,1,496,0.6198473572731018,0.6155917644500732,0.016380224376916885,0.06038099527359009,40.25,40.28499984741211,0.12257632613182068,0.75
gemma3,question_000,2,3,2,1217,0.3759564161300659,0.3810935914516449,0.016238925978541374,0.05985942482948303,39.75,39.80500030517578,0.11499998718500137,0.5
gemma3,question_000,2,3,3,506,0.004176498390734196,0.0032971054315567017,0.0001404943031957373,0.0005178856663405895,35.25,35.05500030517578,0.11499998718500137,0.5
gemma3,question_000,2,3,4,2918,1.934102692757733e-05,1.7192716768477112e-05,1.1339571983626229e-06,7.361458301602397e-06,29.875,29.79749870300293,0.1057414636015892,0.5
gemma3,question_000,2,3,5,1041,2.1485939782905916e-07,2.1032242614182906e-07,1.6339230413109362e-08,1.0145944884243363e-07,25.375,25.392499923706055,0.07504183053970337,0.375
gemma3,question_000,2,3,6,138,6.155824650022623e-08,5.511499878707582e-08,3.258088021595995e-09,1.5038715162063454e-08,24.125,24.05500030517578,0.10356150567531586,0.375
gemma3,question_000,2,3,7,1023,2.9078059071707685e-08,2.5044336382507026e-08,1.8366069776121208e-09,9.76722880352554e-09,23.375,23.264999389648438,0.07348460704088211,0.375
gemma3,question_000,2,3,8,562,2.264601128842969e-08,2.737679949404992e-08,3.0211457779927287e-09,9.101448483761487e-09,23.125,23.350000381469727,0.07499996572732925,0.375
gemma3,question_000,2,3,9,14938,1.3735501624978497e-08,1.1717828485302562e-08,9.078879315005395e-10,4.07157063619934e-09,22.625,22.5049991607666,0.06595435738563538,0.375
gemma3,question_000,2,3,10,614,9.440262793702914e-09,8.181772592763537e-09,4.5123285663528634e-10,2.0352564078507385e-09,22.25,22.147499084472656,0.07369697093963623,0.375
gemma3,question_000,2,4,1,2918,0.9999395608901978,0.99994957447052,5.399060228228336e-06,1.33514404296875e-05,45.0,45.0099983215332,0.09949882328510284,0.5
gemma3,question_000,2,4,2,25890,5.829114161315374e-05,4.82343093608506e-05,5.341028099792311e-06,1.2893393432023004e-05,35.25,35.064998626708984,0.12051967531442642,0.5
gemma3,question_000,2,4,3,145783,1.99461328520556e-06,2.023687557084486e-06,1.2745435640226788e-07,4.999810698791407e-07,31.875,31.897499084472656,0.07782189548015594,0.5
gemma3,question_000,2,4,4,28888,3.653261515523809e-08,2.885744621039521e-08,1.673904237442514e-09,7.1311312410671235e-09,27.875,27.647499084472656,0.08173897117376328,0.5
gemma3,question_000,2,4,5,9813,3.223992095513495e-08,3.1649879161932404e-08,2.6731157287684937e-09,1.4374162304875426e-08,27.75,27.737499237060547,0.06250004470348358,0.375
gemma3,question_000,2,4,6,3305,1.725678622221949e-08,1.5419459487020504e-08,1.0596643562621466e-09,5.396227464871117e-09,27.125,27.01999855041504,0.06782335788011551,0.375
gemma3,question_000,2,4,7,3465,1.3439596990849623e-08,1.3382396524264095e-08,1.0710564657401278e-09,6.7898806577204596e-09,26.875,26.877498626708984,0.06368871033191681,0.375
gemma3,question_000,2,4,8,6555,4.944151310581901e-09,4.5218437882965645e-09,3.7874686720229533e-10,1.7518968498109189e-09,25.875,25.792499542236328,0.09555760025978088,0.5
gemma3,question_000,2,4,9,146342,4.363198691237358e-09,4.2008525547032605e-09,3.7720437884303237e-10,1.94533100739136e-09,25.75,25.717498779296875,0.06523994356393814,0.25
gemma3,question_000,2,4,10,138,2.99877966902784e-09,2.9938922452288352e-09,2.4208016147220235e-10,1.5150258825258334e-09,25.375,25.3799991607666,0.05567767843604088,0.375
gemma3,question_000,2,5,1,236772,0.9999810457229614,0.9999788999557495,1.4633621958637377e-06,7.62939453125e-06,41.5,41.52000045776367,0.06782335788011551,0.25
gemma3,question_000,2,5,2,684,1.8925147742265835e-05,2.102256621583365e-05,1.4603783711208962e-06,7.598817319376394e-06,30.625,30.747499465942383,0.05857691168785095,0.375
gemma3,question_000,2,5,3,531,1.4165818518208084e-09,1.5503826000795584e-09,1.0982629389255649e-10,3.550643112859575e-10,21.125,21.232500076293945,0.0559576116502285,0.375
gemma3,question_000,2,5,4,753,7.582416361451294e-10,6.749090175617312e-10,3.1746355544370886e-11,1.677224470419958e-10,20.5,20.40250015258789,0.06269967555999756,0.25
gemma3,question_000,2,5,5,3465,2.7894153653562626e-10,2.689055367266491e-10,2.0743209233620163e-11,8.72272948315711e-11,19.5,19.479999542236328,0.04582575336098671,0.125
